experiment,method,noise_rate,repeat,seed,n_changed_labels,n_samples,auc,macro_f1,sensitivity,specificity,ece_10,brier,nll
label_permutation,text_bert,1.0,1,20270808,132,292,0.5303418803418803,0.5278928423909837,0.5076923076923077,0.5493827160493827,0.2786299468480741,0.3418419251340357,1.0386866946901223
label_permutation,text_bert,1.0,2,20270809,158,292,0.48295346628679964,0.4796483153360477,0.45384615384615384,0.5061728395061729,0.319725837259033,0.3696703713422286,1.1174106405236608
label_permutation,text_bert,1.0,3,20270810,156,292,0.44335232668566005,0.44518793886823627,0.4153846153846154,0.47530864197530864,0.3745203578069782,0.4017151665656079,1.2076543763718852
label_permutation,text_bert,1.0,4,20270811,152,292,0.45337132003798664,0.4727562400424854,0.4461538461538462,0.5,0.3469485121466399,0.3867571490553096,1.180617729965349
original,bert_clip,0.0,0,20260807,0,292,0.8946343779677113,0.8236025727586085,0.8153846153846154,0.8333333333333334,0.046434148931240565,0.12948880857039435,0.41081011248755495
label_flip,bert_clip,0.05,0,20260857,15,292,0.8544001513217006,0.7928784224712726,0.7744360902255639,0.8113207547169812,0.05934472029218842,0.15285174390259407,0.47944200410804066
label_flip,bert_clip,0.05,1,20260858,15,292,0.8509316770186336,0.7926136363636364,0.7786259541984732,0.8074534161490683,0.07271227550802763,0.15596478026413474,0.4927932104057845
label_flip,bert_clip,0.05,2,20260859,15,292,0.8442376521116679,0.7850902184235518,0.7795275590551181,0.793939393939394,0.05934472029218841,0.15653666622391554,0.48894338291269007
label_flip,bert_clip,0.05,3,20260860,15,292,0.8454412940236047,0.7866704374057316,0.7553956834532374,0.8169934640522876,0.07671334288477935,0.1605427693948675,0.4995439618456238
label_flip,bert_clip,0.05,4,20260861,15,292,0.8403353293413174,0.777809483045608,0.776,0.7844311377245509,0.07407674412657117,0.15636962946361663,0.49458086829354864
label_flip,bert_clip,0.1,0,20260907,29,292,0.8221990422455075,0.7580492424242424,0.7404580152671756,0.7763975155279503,0.09359129563465417,0.17763464444481064,0.5428773967664328
label_flip,bert_clip,0.1,1,20260908,29,292,0.8061663592944626,0.7514541069655271,0.7293233082706767,0.7735849056603774,0.0984512065966831,0.182159358172242,0.5603830742343847
label_flip,bert_clip,0.1,2,20260909,29,292,0.8172682236376504,0.7517475911581334,0.725925925925926,0.7770700636942676,0.07989266549766788,0.17732066496065035,0.5464815563165364
label_flip,bert_clip,0.1,3,20260910,29,292,0.8211736526946108,0.750035668426309,0.744,0.7604790419161677,0.08157325384680826,0.1715103568361609,0.5364186965018711
label_flip,bert_clip,0.1,4,20260911,29,292,0.8327289851659996,0.7726822363765039,0.7445255474452555,0.8,0.0944501392199314,0.17486332106449717,0.5381080210910876
label_flip,bert_clip,0.2,0,20261007,58,292,0.7355733082706766,0.6801526447828699,0.6428571428571429,0.7171052631578947,0.1566703846788749,0.23353695221466722,0.7002671219293994
label_flip,bert_clip,0.2,1,20261008,58,292,0.709005376344086,0.6838134675567296,0.6693548387096774,0.7023809523809523,0.15349106206598634,0.23342641302444503,0.722022845059
label_flip,bert_clip,0.2,2,20261009,58,292,0.7670892018779344,0.7017714802249275,0.6533333333333333,0.7535211267605634,0.14264067962074148,0.21540201866630515,0.6543693692449222
label_flip,bert_clip,0.2,3,20261010,58,292,0.7544701675136457,0.7005057590512007,0.6666666666666666,0.7337662337662337,0.14549045495990998,0.22004495735953453,0.6655161974709528
label_flip,bert_clip,0.2,4,20261011,58,292,0.7544106606606608,0.7012664777337456,0.6597222222222222,0.7432432432432432,0.13778076865871253,0.21678101645520856,0.6617028127322659
label_permutation,bert_clip,1.0,0,20270807,144,292,0.5265906932573599,0.5053954491074707,0.46153846153846156,0.5493827160493827,0.3263837956110593,0.3538953437392356,1.0551420376151595
label_permutation,bert_clip,1.0,1,20270808,132,292,0.5166666666666667,0.5123129952737998,0.46923076923076923,0.5555555555555556,0.3038464462991156,0.35400527135254223,1.0597805263640738
label_permutation,bert_clip,1.0,2,20270809,158,292,0.48632478632478626,0.5053954491074707,0.46153846153846156,0.5493827160493827,0.3275737141174837,0.3682340519067663,1.1035769672056785
label_permutation,bert_clip,1.0,3,20270810,156,292,0.44107312440645774,0.4223848951115218,0.36923076923076925,0.47530864197530864,0.3860382271210335,0.4109958219249454,1.2186564746415163
label_permutation,bert_clip,1.0,4,20270811,152,292,0.45085470085470086,0.450055079776838,0.4,0.5,0.3586409668470608,0.39506328962457515,1.188114711574679
