experiment,group,fold,window_size,model,modality,text_embedding,image_embedding,calibration,calibration_fit_split,threshold_strategy,threshold_selection_split,evaluation_split,threshold,temperature,platt_a,platt_b,accuracy,precision,recall,f1,auc,nll,log_loss,brier,ece_10,n_samples,source_file,method
contextvecnet_w64_fold1,final_preprocessing_v2,1,64,multimodal-transformer,both,clip,clip,none,none,validation_f1,validation,test,0.3183782464404059,,,,0.7931034482758621,0.75,0.8076923076923077,0.7777777777777778,0.8846153846153846,0.4690204729380945,0.4690204729380945,0.155215876282921,0.1189167774726259,58,results/final_preprocessing_v2/supplemental/contextvecnet_uncalibrated_validation_f1/w64/contextvecnet_w64_fold1_metrics.csv,contextvecnet
contextvecnet_w64_fold2,final_preprocessing_v2,2,64,multimodal-transformer,both,clip,clip,none,none,validation_f1,validation,test,0.2401909526836873,,,,0.7068965517241379,0.6097560975609756,0.9615384615384616,0.746268656716418,0.90625,0.411911921302637,0.411911921302637,0.1289127213495732,0.1274228598892431,58,results/final_preprocessing_v2/supplemental/contextvecnet_uncalibrated_validation_f1/w64/contextvecnet_w64_fold2_metrics.csv,contextvecnet
contextvecnet_w64_fold3,final_preprocessing_v2,3,64,multimodal-transformer,both,clip,clip,none,none,validation_f1,validation,test,0.4252529704859421,,,,0.75,0.7037037037037037,0.7307692307692307,0.7169811320754716,0.8393665158371041,0.5136408366700655,0.5136408366700655,0.171735710676045,0.1408626362584486,60,results/final_preprocessing_v2/supplemental/contextvecnet_uncalibrated_validation_f1/w64/contextvecnet_w64_fold3_metrics.csv,contextvecnet
contextvecnet_w64_fold4,final_preprocessing_v2,4,64,multimodal-transformer,both,clip,clip,none,none,validation_f1,validation,test,0.2405171552932084,,,,0.6896551724137931,0.625,0.7692307692307693,0.6896551724137931,0.84375,0.5245511303748674,0.5245511303748674,0.1787616047090864,0.1629301771390124,58,results/final_preprocessing_v2/supplemental/contextvecnet_uncalibrated_validation_f1/w64/contextvecnet_w64_fold4_metrics.csv,contextvecnet
bert_clip_w128_fold0,final_preprocessing_v2,0,128,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.334755168374101,,,,0.7586206896551724,0.6875,0.8461538461538461,0.7586206896551724,0.8533653846153846,0.527944128941457,0.527944128941457,0.1784691744278455,0.1434589553176391,58,results/final_preprocessing_v2/window_sizes/bert_clip/w128/bert_clip_w128_fold0_metrics.csv,bert_clip
bert_clip_w128_fold1,final_preprocessing_v2,1,128,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.3039125398205666,,,,0.7758620689655172,0.7407407407407407,0.7692307692307693,0.7547169811320755,0.8822115384615384,0.4410770679991404,0.4410770679991404,0.1415700429480681,0.0957617889104625,58,results/final_preprocessing_v2/window_sizes/bert_clip/w128/bert_clip_w128_fold1_metrics.csv,bert_clip
bert_clip_w128_fold2,final_preprocessing_v2,2,128,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.6207451979365234,,,,0.9310344827586208,1.0,0.8461538461538461,0.9166666666666666,0.9723557692307692,0.2788708807088162,0.2788708807088162,0.0780757708282412,0.1587696479817868,58,results/final_preprocessing_v2/window_sizes/bert_clip/w128/bert_clip_w128_fold2_metrics.csv,bert_clip
bert_clip_w128_fold3,final_preprocessing_v2,3,128,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.5230807330746335,,,,0.85,0.9473684210526316,0.6923076923076923,0.8,0.9004524886877828,0.3880412802731426,0.3880412802731426,0.1171142139951857,0.0853587757769366,60,results/final_preprocessing_v2/window_sizes/bert_clip/w128/bert_clip_w128_fold3_metrics.csv,bert_clip
bert_clip_w128_fold4,final_preprocessing_v2,4,128,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.4041549843812781,,,,0.8793103448275862,0.88,0.8461538461538461,0.8627450980392157,0.919471153846154,0.3612156206213733,0.3612156206213733,0.1109624103382799,0.0884682547121491,58,results/final_preprocessing_v2/window_sizes/bert_clip/w128/bert_clip_w128_fold4_metrics.csv,bert_clip
bert_clip_w16_fold0,final_preprocessing_v2,0,16,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.4535609989028033,,,,0.7931034482758621,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8629807692307692,0.4961779544587344,0.4961779544587344,0.164423746140142,0.1046794465113963,58,results/final_preprocessing_v2/window_sizes/bert_clip/w16/bert_clip_w16_fold0_metrics.csv,bert_clip
bert_clip_w16_fold1,final_preprocessing_v2,1,16,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.2778665594826785,,,,0.7758620689655172,0.7407407407407407,0.7692307692307693,0.7547169811320755,0.858173076923077,0.4815230522101744,0.4815230522101744,0.1569223562686036,0.0968382216966298,58,results/final_preprocessing_v2/window_sizes/bert_clip/w16/bert_clip_w16_fold1_metrics.csv,bert_clip
bert_clip_w16_fold2,final_preprocessing_v2,2,16,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.2002584367294863,,,,0.7931034482758621,0.6842105263157895,1.0,0.8125,0.9338942307692308,0.3645529583689272,0.3645529583689272,0.1119683703484804,0.1695473709914628,58,results/final_preprocessing_v2/window_sizes/bert_clip/w16/bert_clip_w16_fold2_metrics.csv,bert_clip
bert_clip_w16_fold3,final_preprocessing_v2,3,16,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.4840084820397423,,,,0.8166666666666667,0.8947368421052632,0.6538461538461539,0.7555555555555555,0.8755656108597285,0.4274073065318605,0.4274073065318605,0.1345363355561137,0.1105408138185535,60,results/final_preprocessing_v2/window_sizes/bert_clip/w16/bert_clip_w16_fold3_metrics.csv,bert_clip
bert_clip_w16_fold4,final_preprocessing_v2,4,16,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.3705531792313921,,,,0.8275862068965517,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.9098557692307692,0.3993999310097921,0.3993999310097921,0.1250737111940597,0.1478080147791285,58,results/final_preprocessing_v2/window_sizes/bert_clip/w16/bert_clip_w16_fold4_metrics.csv,bert_clip
bert_clip_w32_fold0,final_preprocessing_v2,0,32,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.2192850096802089,,,,0.7931034482758621,0.6944444444444444,0.9615384615384616,0.8064516129032258,0.8713942307692307,0.4571286763824749,0.4571286763824749,0.1522280583059207,0.1352007143856121,58,results/final_preprocessing_v2/window_sizes/bert_clip/w32/bert_clip_w32_fold0_metrics.csv,bert_clip
bert_clip_w32_fold1,final_preprocessing_v2,1,32,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.2977887596658675,,,,0.7586206896551724,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.8786057692307693,0.4649267651328543,0.4649267651328543,0.1516433689491712,0.1148907021827139,58,results/final_preprocessing_v2/window_sizes/bert_clip/w32/bert_clip_w32_fold1_metrics.csv,bert_clip
bert_clip_w32_fold2,final_preprocessing_v2,2,32,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.1777562227858564,,,,0.7586206896551724,0.65,1.0,0.7878787878787878,0.9519230769230768,0.331202891337213,0.331202891337213,0.0969727233336115,0.1128023164700321,58,results/final_preprocessing_v2/window_sizes/bert_clip/w32/bert_clip_w32_fold2_metrics.csv,bert_clip
bert_clip_w32_fold3,final_preprocessing_v2,3,32,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.6616738567020773,,,,0.8166666666666667,0.9411764705882352,0.6153846153846154,0.7441860465116279,0.8823529411764706,0.4091042802055068,0.4091042802055068,0.1272643687620767,0.1240109324638918,60,results/final_preprocessing_v2/window_sizes/bert_clip/w32/bert_clip_w32_fold3_metrics.csv,bert_clip
bert_clip_w32_fold4,final_preprocessing_v2,4,32,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.3490142097555305,,,,0.8448275862068966,0.8695652173913043,0.7692307692307693,0.8163265306122449,0.9134615384615384,0.398328172725618,0.398328172725618,0.1261571405616577,0.100913682656129,58,results/final_preprocessing_v2/window_sizes/bert_clip/w32/bert_clip_w32_fold4_metrics.csv,bert_clip
contextvecnet_w16_fold0,final_preprocessing_v2,0,16,multimodal-transformer,both,clip,clip,none,none,validation_f1,validation,test,0.23876443248776,,,,0.6551724137931034,0.5652173913043478,1.0,0.7222222222222222,0.7992788461538461,0.5528904225879716,0.5528904225879716,0.1864179165275537,0.1665336199105415,58,results/final_preprocessing_v2/window_sizes/contextvecnet/w16/contextvecnet_w16_fold0_metrics.csv,contextvecnet
