user_id,attention_dir,attention_metric,n_positions,min,max,mean,std,range,top5_ratio
jiali0624,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\jiali0624,image_received_from_text_attention,64,0.0128446230664849,0.0160583928227424,0.015624999825376974,0.0003755800983668579,0.0032137697562574993,0.07995687141966301
fenkychen0827,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\fenkychen0827,image_self_attention_received,64,0.015214798040688,0.0166453327983617,0.015624999548890576,0.00019399787320769523,0.0014305347576736988,0.07988892912544003
jiali0624,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\jiali0624,image_self_attention_received,64,0.0151138622313737,0.0165628902614116,0.015624999941792285,0.00021404018234207132,0.0014490280300379008,0.07988241717175547
frog_egghead,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\frog_egghead,image_self_attention_received,64,0.0153206316754221,0.0168649852275848,0.015624999883584631,0.00019567639832522498,0.001544353552162701,0.0798478933412424
moodie_raven,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\moodie_raven,image_received_from_text_attention,64,0.0128989443182945,0.0159888174384832,0.01562499998544804,0.0003622011483828215,0.003089873120188699,0.07972975268934825
fenkychen0827,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\fenkychen0827,image_received_from_text_attention,64,0.0130563946440815,0.0160600710660219,0.015624999738065484,0.0003512464066889779,0.003003676421940398,0.0797281334503614
moodie_raven,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\moodie_raven,image_self_attention_received,64,0.0152731649577617,0.0164927821606397,0.015624999999999951,0.00016158332079666988,0.001219617202878,0.07956426776945594
frog_egghead,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\frog_egghead,image_received_from_text_attention,64,0.0130995912477374,0.0159879326820373,0.015624999956344206,0.00033868188799642446,0.0028883414342999007,0.07947810947749233
singwizdep,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\singwizdep,image_self_attention_received,64,0.0152947483584284,0.0163716580718755,0.01562500016007102,0.00011884337813232696,0.0010769097134470992,0.07944541529389136
nana_0305nn,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\nana_0305nn,image_self_attention_received,64,0.0154376681894063,0.0163434613496065,0.01562500013096719,0.00010934989128097373,0.0009057931602002006,0.07926779918986353
singwizdep,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\singwizdep,image_received_from_text_attention,64,0.01283626165241,0.0160252936184406,0.015625000101863365,0.0003571875681635555,0.003189031966030601,0.07914451085588743
shadoweffect_writing,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\shadoweffect_writing,image_self_attention_received,64,0.0153950164094567,0.0162964854389429,0.015625000232830602,0.00010189974539007121,0.0009014690294861984,0.07907338508854224
nana_0305nn,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\nana_0305nn,image_received_from_text_attention,64,0.0129535133019089,0.0158802419900894,0.015624999650753979,0.0003413954485482385,0.0029267286881804987,0.07905195830133463
lam_word,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\lam_word,image_self_attention_received,64,0.0155483139678835,0.0163044165819883,0.015625000043655694,9.051756836796942e-05,0.0007561026141047998,0.07899916895013534
poem.shiny_,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\poem.shiny_,image_self_attention_received,64,0.0155789777636528,0.0162755940109491,0.01562500050931699,8.433067921045589e-05,0.0006966162472963004,0.0789219264292462
blue.sea.life,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\blue.sea.life,image_self_attention_received,64,0.015583774074912,0.0162204820662736,0.015624999898136538,7.978799366428525e-05,0.000636707991361599,0.07891968130361084
shadoweffect_writing,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\shadoweffect_writing,image_received_from_text_attention,64,0.0128571009263396,0.0158119294792413,0.015624999505234839,0.0003512885698567293,0.002954828552901698,0.07885740574556561
lam_word,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\lam_word,image_received_from_text_attention,64,0.0129439132288098,0.0157049465924501,0.01562499981082505,0.00033878008137927214,0.0027610333636402997,0.07848476154757845
poem.shiny_,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\poem.shiny_,image_received_from_text_attention,64,0.0128700798377394,0.0156959518790245,0.015625000305590178,0.0003472789941248215,0.0028258720412850987,0.07843470978818008
blue.sea.life,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\blue.sea.life,image_received_from_text_attention,64,0.0128522729501128,0.0156920161098241,0.015625000276486348,0.0003494587060203891,0.0028397431597113,0.07842168631962307
